loan_id|bought_home_before|credit_score|dti|is_insured|ltv|multi_borrowers|orig_rate|prop_type|purpose|state|delq
F105Q1260522|1|694|39|0|52|1|4.875|Condo|No cash-out refinance|others|0
F105Q1260523|1|742|17|0|79|1|4.875|1-4 Fee simple|Cash-out refinance|GA|0
F105Q1260524|1|683|59|0|42|1|5.0|1-4 Fee simple|Cash-out refinance|CA|0
F105Q1260540|1|695|26|0|52|0|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260566|1|658|11|0|61|1|5.25|1-4 Fee simple|Purchase|NY|0
F105Q1260586|1|746|26|0|56|1|5.625|1-4 Fee simple|Cash-out refinance|MI|0
F105Q1260655|1|808|7|0|72|1|5.5|1-4 Fee simple|No cash-out refinance|others|0
F105Q1260696|1|773|37|0|22|1|5.125|1-4 Fee simple|No cash-out refinance|MI|0
F105Q1260742|1|650|29|0|70|1|5.5|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260780|1|626|49|0|70|1|5.25|1-4 Fee simple|No cash-out refinance|others|1
F105Q1260813|1|667|30|0|64|1|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260865|1|789|40|0|42|0|5.5|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260988|1|688|20|0|35|1|5.5|1-4 Fee simple|Cash-out refinance|others|0
F105Q1260994|1|761|34|0|49|0|5.375|Condo|Purchase|others|0
F105Q1261035|1|712|38|0|36|1|5.125|1-4 Fee simple|Cash-out refinance|others|0
F105Q1261068|1|809|20|0|20|0|4.875|Planned unit development|Purchase|GA|0
F105Q1261073|1|782|18|0|20|1|4.875|1-4 Fee simple|Cash-out refinance|GA|0
F105Q1261077|0|787|16|0|51|1|4.875|1-4 Fee simple|Cash-out refinance|WI|0
F105Q1261088|1|773|61|0|44|1|5.5|1-4 Fee simple|Cash-out refinance|others|0
F105Q1261131|1|743|25|0|35|1|6.0|1-4 Fee simple|Purchase|others|0
F105Q1261148|1|742|42|0|64|1|5.375|1-4 Fee simple|No cash-out refinance|others|0
F105Q1261165|1|777|28|0|56|0|5.5|1-4 Fee simple|Cash-out refinance|others|0
F105Q1261167|1|808|34|0|29|1|5.5|Planned unit development|Cash-out refinance|others|0
F105Q1261174|1|712|29|0|35|1|5.39|1-4 Fee simple|Cash-out refinance|WI|0
F105Q1261179|1|632|30|0|70|1|5.25|1-4 Fee simple|No cash-out refinance|others|0
